OrderDate,Region,Manager,SalesMan,Item,Units,Unit_price,Sale_amt
01/06/2018,East,Martha,Alexander,Television,95,1198,113810
01/23/2018,Central,Hermann,Shelli,Home Theater,50,500,25000
02/09/2018,Central,Hermann,Luis,Television,36,1198,43128
02/26/2018,Central,Timothy,David,Cell Phone,27,225,6075
03/15/2018,West,Timothy,Stephen,Television,56,1198,67088
04/01/2018,East,Martha,Alexander,Home Theater,60,500,30000
04/18/2018,Central,Martha,Steven,Television,75,1198,89850
05/05/2018,Central,Hermann,Luis,Television,90,1198,107820
05/22/2018,West,Douglas,Michael,Television,32,1198,38336
06/08/2018,East,Martha,Alexander,Home Theater,60,500,30000
06/25/2018,Central,Hermann,Sigal,Television,90,1198,107820
07/12/2018,East,Martha,Diana,Home Theater,29,500,14500
07/29/2018,East,Douglas,Karen,Home Theater,81,500,40500
08/15/2018,East,Martha,Alexander,Television,35,1198,41930
09/01/2018,Central,Douglas,John,Desk,2,125,250
09/18/2018,East,Martha,Alexander,Video Games,16,58.5,936
10/05/2018,Central,Hermann,Sigal,Home Theater,28,500,14000
10/22/2018,East,Martha,Alexander,Cell Phone,64,225,14400
11/08/2018,East,Douglas,Karen,Cell Phone,15,225,3375
11/25/2018,Central,Hermann,Shelli,Video Games,96,58.5,5616
12/12/2018,Central,Douglas,John,Television,67,1198,80266
12/29/2018,East,Douglas,Karen,Video Games,74,58.5,4329
01/15/2019,Central,Timothy,David,Home Theater,46,500,23000
02/01/2019,Central,Douglas,John,Home Theater,87,500,43500
02/18/2019,East,Martha,Alexander,Home Theater,4,500,2000
03/07/2019,West,Timothy,Stephen,Home Theater,7,500,3500
03/24/2019,Central,Hermann,Luis,Video Games,50,58.5,2925
04/10/2019,Central,Martha,Steven,Television,66,1198,79068
04/27/2019,East,Martha,Diana,Cell Phone,96,225,21600
05/14/2019,Central,Timothy,David,Television,53,1198,63494
05/31/2019,Central,Timothy,David,Home Theater,80,500,40000
06/17/2019,Central,Hermann,Shelli,Desk,5,125,625
07/04/2019,East,Martha,Alexander,Video Games,62,58.5,3627
07/21/2019,Central,Hermann,Sigal,Video Games,55,58.5,3217.5
08/07/2019,Central,Hermann,Shelli,Video Games,42,58.5,2457
08/24/2019,West,Timothy,Stephen,Desk,3,125,375
09/10/2019,Central,Timothy,David,Television,7,1198,8386
09/27/2019,West,Timothy,Stephen,Cell Phone,76,225,17100
10/14/2019,West,Douglas,Michael,Home Theater,57,500,28500
10/31/2019,Central,Martha,Steven,Television,14,1198,16772
11/17/2019,Central,Hermann,Luis,Home Theater,11,500,5500
12/04/2019,Central,Hermann,Luis,Home Theater,94,500,47000
12/21/2019,Central,Martha,Steven,Home Theater,28,500,14000
,,,,,278,1125,62550
,,,,,34.75,140.625,7818.75
